,SITEID,FEATURE,TYPE,STRUCTYPEI,STRIKE,DIP,DLAT,DLONG,EASTING,NORTHING,ZONE_,DIP_DIR,geometry
17,CMDTOP000062,"Bedding, showing strike and dip",inclined,BEIN,298,60.0,-28.7585,117.66903,565316.0,6818583.0,50,208.0,POINT (565316 6818583)
393,TJISIN121018,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,155,73.0,-29.07648,117.34237,533320.0,6783495.0,50,65.0,POINT (533320 6783495)
255,SFCTHU000147,"Bedding, showing strike and dip",inclined,BEIN,320,76.0,-28.96006,117.03329,503244.0,6796441.0,50,230.0,POINT (503244 6796441)
300,TJISIN120779,"Bedding, showing strike and dip",vertical,BEVE,200,90.0,-29.07572,116.95718,495834.0,6783625.0,50,110.0,POINT (495834 6783625)
567,TJIYAL140232,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,350,72.0,-28.25472,116.71781,472321.0,6874548.0,50,260.0,POINT (472321 6874548)
190,TJIGGR130287,"Bedding, showing strike and dip","overturned, inclined",BEOI,280,66.0,-28.80657,116.98849,498876.0,6813448.0,50,190.0,POINT (498876 6813448)
569,TJISIN170002,"Bedding, showing strike and dip",inclined,BEIN,20,56.0,-29.425259,117.213116,520674.0,6744877.0,50,290.0,POINT (520674 6744877)
522,TJISIN140094,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,300,70.0,-29.43205,117.13601,513193.0,6744139.0,50,210.0,POINT (513193 6744139)
268,SFCCGM000560,"Bedding, showing strike and dip",inclined,BEIN,135,78.0,-28.49792,116.81819,482208.0,6847622.0,50,45.0,POINT (482208 6847622)
94,SFCTHU000223,"Bedding, showing strike and dip",inclined,BEIN,155,80.0,-28.96465,117.01173,501144.0,6795928.0,50,65.0,POINT (501144 6795928)
180,TJISIN140132,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,104,64.0,-29.45397,117.12751,512362.0,6741708.0,50,14.0,POINT (512362 6741708)
443,SFCWYN000045,"Bedding, showing strike and dip",inclined,BEIN,30,78.0,-27.67399,118.04355,602913.0,6938477.0,50,300.0,POINT (602913 6938477)
369,TJISIN120047,"Bedding, showing strike and dip",inclined,BEIN,29,80.0,-29.10943,117.09665,509405.0,6779889.0,50,299.0,POINT (509405 6779889)
407,TJISIN140029,"Bedding, showing strike and dip",inclined,BEIN,320,16.0,-29.48295,117.29636,528728.0,6738466.0,50,230.0,POINT (528728 6738466)
5,KPWCUE000072,"Bedding, showing strike and dip",inclined,BEIN,220,80.0,-27.687,117.85085,583899.0,6937182.0,50,130.0,POINT (583899 6937182)
45,SFCTHU000164,"Bedding, showing strike and dip",vertical,BEVE,340,90.0,-28.97008,117.02491,502428.0,6795331.0,50,250.0,POINT (502428 6795331)
289,KPWTLR004728,"Bedding, showing strike and dip",inclined,BEIN,50,90.0,-28.10052,115.71024,373297.0,6890988.0,50,320.0,POINT (373297 6890988)
382,TJISIN100015,"Bedding, showing strike and dip",inclined,BEIN,128,25.0,-29.44773,117.31201,530260.0,6742367.0,50,38.0,POINT (530260 6742367)
374,AHHMGI002895,"Bedding, showing strike and dip",inclined,BEIN,135,75.0,-29.60108,117.24243,523474.0,6725394.0,50,45.0,POINT (523474 6725394)
16,SFCCGM000719,"Bedding, showing strike and dip",inclined,BEIN,315,66.0,-28.54217,116.83183,483549.0,6842724.0,50,225.0,POINT (483549 6842724)
48,SFCCGM000473,"Bedding, showing strike and dip",inclined,BEIN,320,68.0,-28.48355,116.81015,481415.0,6849214.0,50,230.0,POINT (481415 6849214)
573,KPWCUE000313,"Bedding, showing strike and dip",inclined,BEIN,180,40.0,-27.65997,117.12814,512636.0,6940454.0,50,90.0,POINT (512636 6940454)
482,SFCWYN000139,"Bedding, showing strike and dip",inclined,BEIN,204,80.0,-27.56011,118.12272,610837.0,6951020.0,50,114.0,POINT (610837 6951020)
3,SFCTHU000384,"Bedding, showing strike and dip",inclined,BEIN,170,75.0,-28.952009,116.968885,496968.0,6797330.0,50,80.0,POINT (496968 6797330)
321,TJISIN120519,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,111,69.0,-29.06214,117.17089,516637.0,6785118.0,50,21.0,POINT (516637 6785118)
357,KPWCUE000351,"Bedding, showing strike and dip",inclined,BEIN,180,60.0,-27.52506,117.1443,514252.0,6955399.0,50,90.0,POINT (514252 6955399)
341,TJIDAL180120,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,232,76.0,-27.71713,117.22251,521937.0,6934113.0,50,142.0,POINT (521937 6934113)
225,TJIWIN000914,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,192,70.0,-29.0022,118.33725,630249.0,6791033.0,50,102.0,POINT (630249 6791033)
26,SFCTHU000253,"Bedding, showing strike and dip",inclined,BEIN,325,75.0,-28.88862,117.00587,500570.0,6804351.0,50,235.0,POINT (500570 6804351)
419,TJISIN121016,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,215,55.0,-29.07654,117.33562,532667.0,6783490.0,50,125.0,POINT (532667 6783490)
263,SFCCGM000534,"Bedding, showing strike and dip",inclined,BEIN,320,60.0,-28.43353,116.72731,473298.0,6854740.0,50,230.0,POINT (473298 6854740)
50,TJIWIN000291,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,80,40.0,-27.86091,118.49943,647626.0,6917300.0,50,350.0,POINT (647626 6917300)
229,KPWCUE000498,"Bedding, showing strike and dip",inclined,BEIN,335,60.0,-27.71945,117.22863,522536.0,6933852.0,50,245.0,POINT (522536 6933852)
37,TJIYAL140026,"Bedding, showing strike and dip",vertical,BEVE,4,90.0,-28.21478,116.74679,475155.0,6878978.0,50,274.0,POINT (475155 6878978)
157,SFCTHU000485,"Bedding, showing strike and dip",inclined,BEIN,260,70.0,-29.06166,116.98967,498996.0,6785181.0,50,170.0,POINT (498996 6785181)
237,SFCTHU000141,"Bedding, showing strike and dip",inclined,BEIN,110,80.0,-28.95177,117.04334,504221.0,6797355.0,50,20.0,POINT (504221 6797355)
568,SFCCGM000481,"Bedding, showing strike and dip",inclined,BEIN,300,78.0,-28.4373,116.75456,475964.0,6854327.0,50,210.0,POINT (475964 6854327)
175,SFCTHU000346,"Bedding, showing strike and dip",inclined,BEIN,320,65.0,-28.910046,116.967892,496872.0,6801983.0,50,230.0,POINT (496872 6801983)
493,SFCTHU000246,"Bedding, showing strike and dip",inclined,BEIN,340,80.0,-28.90593,117.00191,500184.0,6802434.0,50,250.0,POINT (500184 6802434)
515,SFCTHU000315,"Bedding, showing strike and dip",inclined,BEIN,270,80.0,-28.88519,116.96242,496335.0,6804732.0,50,180.0,POINT (496335 6804732)
194,SFCWYN000138,"Bedding, showing strike and dip",inclined,BEIN,205,70.0,-27.56025,118.1233,610893.0,6951007.0,50,115.0,POINT (610893 6951007)
563,TJIWIN000893,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,10,80.0,-28.90037,118.20295,617282.0,6802455.0,50,280.0,POINT (617282 6802455)
